DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
83.3,1,99.8,99.9,102.7,98.5,98.7,-0.2,0.2,-7.6,7.6,142987,1.4,20167,0.2,7.6,1,好景気
88.9,1,100.5,100.4,100.6,98.2,99,-2.2,2.2,-3.8,3.8,144666,1.4,20168,2.2,3.8,1,好景気
77.8,1,100.7,101.1,100.9,98.4,99.4,-1.7,1.7,-6,6,146345,1.4,20169,1.7,6,1,好景気
83.3,1,101,101.8,104.2,98.3,99.7,-0.2,0.2,-6.6,6.6,150942,1.4,201610,0.2,6.6,1,好景気
88.9,1,102,102.8,106.6,97.8,100.9,1.7,1.7,-1.3,1.3,155540,1.4,201611,1.7,1.3,1,好景気
88.9,0,102,103.1,103.9,97.7,100.1,0.7,0.7,-2.4,2.4,160137,1.4,201612,0.7,2.4,0,不景気
66.7,0,100.9,102.2,99.2,98.8,99.4,1,1,-0.2,0.2,160811,1.4,20171,1,0.2,0,不景気
44.4,1,101.6,102.4,103.2,99.4,99,0.2,0.2,-0.4,0.4,161485,1.5,20172,0.2,0.4,1,好景気
55.6,0,101.5,103,102.4,98.3,97.2,2.1,2.1,3.2,3.2,162159,1.5,20173,2.1,3.2,0,不景気
88.9,1,104.1,104.2,109,98.2,100.9,3.2,3.2,0.9,0.9,162213,1.5,20174,3.2,0.9,1,好景気
66.7,0,102.3,101.7,102.2,98.3,102.4,2.1,2.1,6.3,6.3,162267,1.5,20175,2.1,6.3,0,不景気
88.9,1,103.3,104.1,105.7,97.1,102.9,2.2,2.2,4.4,4.4,162321,1.5,20176,2.2,4.4,1,好景気
33.3,0,102.5,103.5,103.1,97.3,100.7,1.8,1.8,3.1,3.1,163715,1.5,20177,1.8,3.1,0,不景気
77.8,1,104,105.1,104.6,98.5,105.8,1.8,1.8,4.3,4.3,165110,1.5,20178,1.8,4.3,1,好景気
44.4,0,103,103.5,102,98.5,102.2,2.3,2.3,4,4,166504,1.5,20179,2.3,4,0,不景気
66.7,1,103.3,103.2,101.6,97.8,103.5,-0.2,0.2,5.1,5.1,169783,1.6,201710,0.2,5.1,1,好景気
77.8,1,104.2,105.3,103.4,98.6,105.2,2.1,2.1,5.7,5.7,173063,1.6,201711,2.1,5.7,1,好景気
88.9,1,105.8,106,106.4,98,107,3.6,3.6,7,7,176342,1.6,201712,3.6,7,1,好景気
33.3,0,101.4,101.8,100.8,95.6,103.4,1.5,1.5,7.1,7.1,174330,1.6,20181,1.5,7.1,0,不景気
22.2,1,104,104.4,106.7,97,103.3,1.7,1.7,4.2,4.2,172318,1.6,20182,1.7,4.2,1,好景気
11.1,1,105.1,104.9,106.2,96.8,105,1,1,2.9,2.9,170306,1.6,20183,1,2.9,1,好景気
83.3,0,104.5,105.5,108.6,96.8,107.5,1.5,1.5,6.6,6.6,173124,1.6,20184,1.5,6.6,0,不景気
77.8,1,104.8,105.2,103.4,99.2,104.5,0.6,0.6,6.6,6.6,175941,1.6,20185,0.6,6.6,1,好景気
66.7,0,103.7,105.1,103.9,97.9,103.4,1.7,1.7,4,4,178759,1.6,20186,1.7,4,0,不景気
27.8,1,103.8,104.4,99.6,97.4,103.6,1.5,1.5,5.6,5.6,175628,1.6,20187,1.5,5.6,1,好景気
33.3,0,103.6,104.2,103.8,96.8,104.1,2.7,2.7,4.8,4.8,172497,1.6,20188,2.7,4.8,0,不景気
33.3,0,103.5,103.4,102.4,96.1,103.6,2.2,2.2,0.4,0.4,169366,1.6,20189,2.2,0.4,0,不景気
83.3,1,105.6,107.4,105.3,98.6,107.8,3.6,3.6,7.2,7.2,165568,1.6,201810,3.6,7.2,1,好景気
61.1,0,104.6,104.4,104.2,97.9,105,1.4,1.4,3.4,3.4,161771,1.6,201811,1.4,3.4,0,不景気
50,1,104.7,104.8,104.9,95.1,104.5,1.3,1.3,-1,1,157973,1.6,201812,1.3,1,1,好景気
