DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
33.3,1,87.2,65.5,90.9,107,101.1,-0.6,0.6,-4.9,4.9,69172,0.6,198612,0.6,4.9,1,好景気
61.1,0,86.5,65.5,92.3,107.4,100.4,3.9,3.9,-7.9,7.9,69408,0.6,19871,3.9,7.9,0,不景気
88.9,0,86.3,65.6,93,106.9,102,2.6,2.6,-4.6,4.6,69645,0.6,19872,2.6,4.6,0,不景気
100,1,87.6,66.5,94.3,107.4,102.1,2.3,2.3,0.3,0.3,69881,0.6,19873,2.3,0.3,1,好景気
77.8,0,86.6,66,90.5,108.7,102.1,3.3,3.3,0.5,0.5,72235,0.6,19874,3.3,0.5,0,不景気
66.7,0,85.3,65.7,92.1,109.7,100.8,6.7,6.7,-0.2,0.2,74590,0.7,19875,6.7,0.2,0,不景気
88.9,1,88.5,67.9,93.8,111.1,103.3,5.6,5.6,3.5,3.5,76944,0.7,19876,5.6,3.5,1,好景気
100,1,89.3,68.3,94.5,112.3,107,5.5,5.5,5.5,5.5,78810,0.7,19877,5.5,5.5,1,好景気
88.9,1,89.7,69.1,94.4,115.6,105.3,4.4,4.4,5.8,5.8,80676,0.7,19878,4.4,5.8,1,好景気
100,1,91,70.2,95.9,115.8,106.8,7.9,7.9,7.3,7.3,82542,0.7,19879,7.9,7.3,1,好景気
94.4,1,92.4,71.1,96.5,116.8,109.7,5.5,5.5,7.6,7.6,84909,0.8,198710,5.5,7.6,1,好景気
88.9,1,92.8,71.4,95.7,117.3,111.4,7.7,7.7,5.3,5.3,87276,0.8,198711,7.7,5.3,1,好景気
77.8,1,93.9,71.5,97.3,118.9,110.8,7.4,7.4,5.9,5.9,89643,0.8,198712,7.4,5.9,1,好景気
83.3,1,94.5,72,96.5,119.4,116,4.1,4.1,7.7,7.7,91127,0.9,19881,4.1,7.7,1,好景気
100,1,97.2,74.3,99.7,120.1,117.8,9.4,9.4,11.6,11.6,92610,0.9,19882,9.4,11.6,1,好景気
77.8,0,95.2,72.9,95.6,120.8,112.4,7.1,7.1,11.1,11.1,94094,0.9,19883,7.1,11.1,0,不景気
94.4,1,97.7,74.3,102,119.4,121.4,4.6,4.6,10.5,10.5,96312,1,19884,4.6,10.5,1,好景気
33.3,0,96.8,73.7,98.7,120.3,117.3,4.3,4.3,9.1,9.1,98531,1,19885,4.3,9.1,0,不景気
77.8,1,97,74.3,98,120.9,117.1,6.3,6.3,9.7,9.7,100749,1,19886,6.3,9.7,1,好景気
55.6,1,97.4,74.8,100.4,121.9,119.1,6.4,6.4,6.3,6.3,100756,1,19887,6.4,6.3,1,好景気
77.8,1,97.9,75.5,95.1,123,121.6,3.9,3.9,9.8,9.8,100762,1.1,19888,3.9,9.8,1,好景気
77.8,1,99.6,76.1,101.4,122.7,120.9,3.5,3.5,7.6,7.6,100769,1.1,19889,3.5,7.6,1,好景気
77.8,0,98.1,76.1,101.3,122.5,122.9,5.5,5.5,5.8,5.8,102447,1.1,198810,5.5,5.8,0,不景気
77.8,1,100.1,77.2,105.7,122.6,123.5,5.8,5.8,9.3,9.3,104125,1.1,198811,5.8,9.3,1,好景気
88.9,1,101,78.2,102.4,122.1,123.6,4.9,4.9,8.5,8.5,105803,1.1,198812,4.9,8.5,1,好景気
77.8,1,102.1,78,101.6,121.8,124.5,3.8,3.8,7.8,7.8,111526,1.2,19891,3.8,7.8,1,好景気
66.7,0,101.3,77.8,99,123.2,123.9,1.6,1.6,6.7,6.7,117248,1.2,19892,1.6,6.7,0,不景気
100,1,105,80.7,103.2,123.4,129.8,11.8,11.8,17.2,17.2,122971,1.2,19893,11.8,17.2,1,好景気
66.7,0,103.2,79.3,110.5,125.2,127,3,3,3.8,3.8,114495,1.2,19894,3,3.8,0,不景気
77.8,0,103.1,79.4,106.7,122.1,127.8,5.4,5.4,6.9,6.9,106019,1.3,19895,5.4,6.9,0,不景気
22.2,1,104.6,80.4,108.1,122.8,128.6,4.6,4.6,9.9,9.9,97543,1.3,19896,4.6,9.9,1,好景気
44.4,0,102.3,78.9,102.8,122.9,126.6,6.6,6.6,7.8,7.8,102922,1.3,19897,6.6,7.8,0,不景気
77.8,1,104.3,79.7,106,121.9,130.2,6.5,6.5,7.7,7.7,108302,1.3,19898,6.5,7.7,1,好景気
44.4,0,103.7,79.7,106.7,121.3,128.9,6.8,6.8,9.2,9.2,113681,1.3,19899,6.8,9.2,0,不景気
66.7,0,103,78.6,106,120.6,127.9,8.4,8.4,6.7,6.7,115339,1.3,198910,8.4,6.7,0,不景気
55.6,1,104,79.6,107.4,121.6,129.7,7.3,7.3,8,8,116998,1.3,198911,7.3,8,1,好景気
100,1,104.4,80.4,107.3,122,131.2,8.6,8.6,9.7,9.7,118656,1.3,198912,8.6,9.7,1,好景気
88.9,0,103.5,79.4,108.7,123.2,131.8,10.8,10.8,8.1,8.1,116728,1.3,19901,10.8,8.1,0,不景気
77.8,1,104.4,80.3,108.4,122.1,132.2,10.2,10.2,7.6,7.6,114799,1.4,19902,10.2,7.6,1,好景気
66.7,1,106.4,81.5,114.6,123.3,132.9,4,4,2.3,2.3,112871,1.4,19903,4,2.3,1,好景気
83.3,0,106.4,81.7,108.7,122.8,133.3,11.9,11.9,13.3,13.3,115822,1.4,19904,11.9,13.3,0,不景気
